,Random (1),Cooperate (1),Cooperate (2),Defect (2),Defect (3),Unforgiving (3),Cooperate (4),Unforgiving (4),Random (5),Defect (5)
223,2.039855072,2.348360656,1.559471366,1.516587678,1.427007299,1.227678571,3,3,1,1.235555556
224,2.039855072,2.348360656,1.559471366,1.516587678,1.427007299,1.243362832,3,3,0.996282528,1.23245614
225,2.0433213,2.351020408,1.559471366,1.516587678,1.427007299,1.243362832,3,3,0.996296296,1.23245614
226,2.04676259,2.358870968,1.559471366,1.516587678,1.427007299,1.243362832,3,3,0.996296296,1.23245614
227,2.050179211,2.361445783,1.559471366,1.516587678,1.427007299,1.243362832,3,3,0.996296296,1.23245614
228,2.042105263,2.361445783,1.552631579,1.514018692,1.427007299,1.236842105,3,3,0.996296296,1.23245614
229,2.042105263,2.361445783,1.552631579,1.514018692,1.427536232,1.236842105,3,3,0.996296296,1.237068966
230,2.041958042,2.352,1.539130435,1.513761468,1.427536232,1.252173913,3,3,0.988970588,1.237068966
231,2.041958042,2.352,1.532467532,1.515981735,1.427536232,1.267241379,3,3,0.988970588,1.237068966
232,2.034722222,2.352,1.545064378,1.515981735,1.421428571,1.260683761,3,3,0.988970588,1.235042735
233,2.038062284,2.354581673,1.531914894,1.520361991,1.416083916,1.260683761,3,3,0.988970588,1.235042735
234,2.038062284,2.354581673,1.525423729,1.522522523,1.416083916,1.260683761,3,3,0.988970588,1.234042553
235,2.023890785,2.354581673,1.518987342,1.524663677,1.413194444,1.260683761,3,3,0.989010989,1.234042553
236,2.023890785,2.354581673,1.518987342,1.524663677,1.413194444,1.260683761,3,3,0.989010989,1.234042553
237,2.023890785,2.354581673,1.506276151,1.528888889,1.413194444,1.260683761,3,3,0.989010989,1.237288136
238,2.023890785,2.354581673,1.506276151,1.524229075,1.413194444,1.264705882,3,3,0.985507246,1.237288136
239,2.023890785,2.354581673,1.506276151,1.524229075,1.417241379,1.264705882,3,3,0.985507246,1.237288136
240,2.016891892,2.350393701,1.518672199,1.524229075,1.417241379,1.259414226,3,3,0.985507246,1.2375
241,2.023489933,2.35546875,1.512396694,1.52173913,1.419243986,1.259414226,3,3,0.982014388,1.242798354
242,2.016666667,2.35546875,1.512396694,1.52173913,1.419243986,1.259414226,3,3,0.975088968,1.242798354
243,2.019933555,2.362934363,1.512396694,1.52173913,1.419243986,1.254166667,3,3,0.989399293,1.245967742
244,2.02310231,2.356321839,1.512396694,1.517241379,1.418367347,1.254166667,3,3,0.982517483,1.248
245,2.023026316,2.347328244,1.5,1.512605042,1.418367347,1.247933884,3,3,0.979166667,1.246031746
246,2.023026316,2.347328244,1.5,1.512605042,1.418918919,1.262295082,3,3,0.979166667,1.243137255
247,2.016339869,2.347328244,1.487804878,1.516666667,1.418918919,1.276422764,3,3,0.979238754,1.243137255
248,2.012944984,2.349809886,1.487804878,1.516666667,1.418918919,1.271255061,3,3,0.979238754,1.243137255
249,2.016129032,2.352272727,1.5,1.516666667,1.420875421,1.266129032,3,3,0.979238754,1.243137255
250,2.012779553,2.354716981,1.505976096,1.518672199,1.422818792,1.266129032,3,3,0.979238754,1.240310078
251,2.012779553,2.354716981,1.505976096,1.518672199,1.422818792,1.266129032,3,3,0.979310345,1.242307692
252,2.019047619,2.359550562,1.517786561,1.518672199,1.422818792,1.266129032,3,3,0.976027397,1.245210728
253,2.022151899,2.375912409,1.529411765,1.518672199,1.417218543,1.266129032,3,3,0.986440678,1.248091603
254,2.025236593,2.378181818,1.529411765,1.514403292,1.417218543,1.266129032,3,3,0.996644295,1.248091603
255,2.025236593,2.378181818,1.534883721,1.508064516,1.414473684,1.265060241,3,3,0.996666667,1.248091603
256,2.021875,2.380434783,1.534351145,1.512,1.410423453,1.265060241,3,3,0.996666667,1.248091603
257,2.021875,2.380434783,1.534351145,1.507936508,1.410423453,1.265060241,3,3,0.996666667,1.25095057
258,2.021875,2.380434783,1.52851711,1.509881423,1.410423453,1.265060241,3,3,0.993355482,1.25095057
259,2.021875,2.380434783,1.522727273,1.5078125,1.40776699,1.278884462,3,3,0.993355482,1.253787879
260,2.02173913,2.367857143,1.516981132,1.505791506,1.405144695,1.277777778,3,3,0.990131579,1.254681648
